"species","site","awcA","phTotal","sandA","shcA","solumDepth","bio5","bio6","bio15","bio18","bio19","Lat","Long"
"spp2",1082,17.612499,588.914978,69.542503,136.059997,882.65747,30.2810821,5.162162,46.189189,0,147.48648,-33.39422801,118.1682145
"spp2",1068,17.927499,609.757507,72.807502,180.054992,816.244995,30.154544,5.4727272,31.363636,0,133.727279,-33.09073027,119.8149835
"spp2",1068,17.927499,609.757507,72.807502,180.054992,816.244995,30.154544,5.4727272,31.363636,0,133.727279,-33.09073027,119.8149835
"spp2",1068,17.927499,609.757507,72.807502,180.054992,816.244995,30.154544,5.4727272,31.363636,0,133.727279,-33.09073027,119.8149835
"spp2",1068,17.927499,609.757507,72.807502,180.054992,816.244995,30.154544,5.4727272,31.363636,0,133.727279,-33.09073027,119.8149835
"spp2",1100,17.5275,678.002502,78.037498,173.955001,915.905029,29.0454559,5.5424243,45,0,145.393936,-33.84560641,118.1068054
"spp2",1065,15.284999,576.42749,70.275001,120.717498,860.984985,31.3714294,4.9057144,46.857143,0,143.971435,-32.94333183,118.2291378
"spp2",1116,17.1625,908.080017,76.842498,231.6725,826.332519,27.3594604,5.981081,44.054054,0,181.459457,-34.29750293,118.0449045
"spp2",1101,16.43,595.994995,73.032501,170.272506,913.270019,28.6,5.5837837,37.675674,0,140.216217,-33.89704195,118.6391215
"spp2",1100,17.5275,678.002502,78.037498,173.955001,915.905029,29.0454559,5.5424243,45,0,145.393936,-33.84560641,118.1068054
"spp2",1100,17.5275,678.002502,78.037498,173.955001,915.905029,29.0454559,5.5424243,45,0,145.393936,-33.84560641,118.1068054
"spp2",1102,18.875,761.955017,72.985,203.892501,899.262512,28.2142852,6.1285713,35.057144,0,161.571426,-33.94668075,119.1719129
"spp2",1082,17.612499,588.914978,69.542503,136.059997,882.65747,30.2810821,5.162162,46.189189,0,147.48648,-33.39422801,118.1682145
"spp2",1100,17.5275,678.002502,78.037498,173.955001,915.905029,29.0454559,5.5424243,45,0,145.393936,-33.84560641,118.1068054
"spp2",1101,16.43,595.994995,73.032501,170.272506,913.270019,28.6,5.5837837,37.675674,0,140.216217,-33.89704195,118.6391215
"spp2",1098,22.3325,925.04248,79.084999,278.91751,1057.21997,29.4542846,5.3428569,59,0,235.085708,-33.73735782,117.0436644
"spp2",1082,17.612499,588.914978,69.542503,136.059997,882.65747,30.2810821,5.162162,46.189189,0,147.48648,-33.39422801,118.1682145
"spp2",1085,16.93,646.867492,71.364997,168.587493,848.770019,29.077777,6.011111,29.166666,0,137.222229,-33.54237499,119.7602921
"spp2",1102,18.875,761.955017,72.985,203.892501,899.262512,28.2142852,6.1285713,35.057144,0,161.571426,-33.94668075,119.1719129
"spp2",1082,17.612499,588.914978,69.542503,136.059997,882.65747,30.2810821,5.162162,46.189189,0,147.48648,-33.39422801,118.1682145
"spp2",1028,45.237499,620.400024,77.904998,163.8125,896.872497,32.616217,4.5702701,40.594593,0,133.054046,-32.1419138,119.3981233
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",1045,16.972499,557.592529,73.6175,140.029998,900.025024,31.8303039,4.660606,55.272727,0,159.727279,-32.44045256,117.763955
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",1024,26.254999,532.53247,76.294998,229.142501,1053.260009,33.3117645,4.9176471,62.382354,0,180,-31.9367364,117.3028515
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",1025,23.1375,459.742492,71.470001,88.355003,892.227478,32.8399993,4.8171428,53.885715,43,145.057144,-31.99067034,117.8259582
"spp2",1068,17.927499,609.757507,72.807502,180.054992,816.244995,30.154544,5.4727272,31.363636,0,133.727279,-33.09073027,119.8149835
"spp2",1046,15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177,-32.49288277,118.2895809
"spp2",1048,21.024999,525.034973,73.832496,151.684997,960.585021,32.05484,4.919355,38.774192,0,133.806457,-32.59243435,119.3422405
"spp2",1068,17.927499,609.757507,72.807502,180.054992,816.244995,30.154544,5.4727272,31.363636,0,133.727279,-33.09073027,119.8149835
"spp2",1066,14.472499,546.179992,71.324996,178.865005,875.172485,31.4382354,5.0588233,40.382354,0,132.647064,-32.99424536,118.7572941
"spp2",1065,15.284999,576.42749,70.275001,120.717498,860.984985,31.3714294,4.9057144,46.857143,0,143.971435,-32.94333183,118.2291378
"spp2",1067,15.42,556.67749,73.9375,203.470001,870.794982,30.9111114,5.1416667,34.583332,0,131.055557,-33.04337913,119.2859147
"spp2",1067,15.42,556.67749,73.9375,203.470001,870.794982,30.9111114,5.1416667,34.583332,0,131.055557,-33.04337913,119.2859147
"spp2",1046,15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177,-32.49288277,118.2895809
"spp2",1046,15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177,-32.49288277,118.2895809
"spp2",1049,47.044998,761.950012,71.782501,154.732498,812.527526,31.0972229,5.0416667,36.75,0,145.361114,-32.63955001,119.8692426
"spp2",1047,17.362499,515.082519,75.752502,164.1875,981.474975,32.6157897,4.6763156,42,0,134.026321,-32.54354434,118.8156813
"spp2",1046,15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177,-32.49288277,118.2895809
"spp2",1047,17.362499,515.082519,75.752502,164.1875,981.474975,32.6157897,4.6763156,42,0,134.026321,-32.54354434,118.8156813
"spp2",1065,15.284999,576.42749,70.275001,120.717498,860.984985,31.3714294,4.9057144,46.857143,0,143.971435,-32.94333183,118.2291378
"spp3",1115,21.767499,891.549987,74.3525,206.872497,950.142517,27.9411773,5.9617645,50.382354,0,223.882354,-34.24399474,117.5109818
"spp3",1102,18.875,761.955017,72.985,203.892501,899.262512,28.2142852,6.1285713,35.057144,0,161.571426,-33.94668075,119.1719129
"spp3",1103,19.69395,819.925292,77.836296,300.010681,873.160156,28.3807678,6.8769233,35.769229,0,174.461532,-33.99451976,119.7051635
"spp3",1102,18.875,761.955017,72.985,203.892501,899.262512,28.2142852,6.1285713,35.057144,0,161.571426,-33.94668075,119.1719129
"spp3",1102,18.875,761.955017,72.985,203.892501,899.262512,28.2142852,6.1285713,35.057144,0,161.571426,-33.94668075,119.1719129
"spp3",1103,19.69395,819.925292,77.836296,300.010681,873.160156,28.3807678,6.8769233,35.769229,0,174.461532,-33.99451976,119.7051635
"spp3",1118,17.58633,841.269775,79.798561,317.690643,964.920837,27.1115386,6.8153846,40.653846,0,206.576919,-34.39910923,119.1142262
"spp3",1115,21.767499,891.549987,74.3525,206.872497,950.142517,27.9411773,5.9617645,50.382354,0,223.882354,-34.24399474,117.5109818
"spp3",1115,21.767499,891.549987,74.3525,206.872497,950.142517,27.9411773,5.9617645,50.382354,0,223.882354,-34.24399474,117.5109818
"spp4",883,17.097499,415.127502,70.017501,112.480003,985.530029,36.05,6.6058822,64.529411,0,168.882354,-29.52556414,116.0789485
"spp4",881,23.010101,480.326599,83.993263,477.565643,1129.932617,34.6679992,8.9080001,86.639999,0,267.440002,-29.40471843,115.0570451
"spp4",940,19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717,-30.47868689,116.4592115
"spp4",940,19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717,-30.47868689,116.4592115
"spp5",1027,17.017499,489.394989,74.677497,147.212493,951.905029,33.178125,4.590625,44,0,135.6875,-32.0932619,118.8736097
"spp5",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp5",1001,16.094999,467.595001,77.300003,145.532501,1033.685058,33.2714294,4.4857143,45.857143,0,134.114288,-31.64336426,118.9310846
"spp5",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp5",1001,16.094999,467.595001,77.300003,145.532501,1033.685058,33.2714294,4.4857143,45.857143,0,134.114288,-31.64336426,118.9310846
"spp5",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp5",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp5",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp5",1001,16.094999,467.595001,77.300003,145.532501,1033.685058,33.2714294,4.4857143,45.857143,0,134.114288,-31.64336426,118.9310846
"spp5",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp5",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp5",1027,17.017499,489.394989,74.677497,147.212493,951.905029,33.178125,4.590625,44,0,135.6875,-32.0932619,118.8736097
"spp5",1046,15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177,-32.49288277,118.2895809
"spp5",1046,15.779999,511.755004,66.957496,113.027496,936.257507,32.3441162,4.7911766,48.735294,0,143.941177,-32.49288277,118.2895809
"spp5",1028,45.237499,620.400024,77.904998,163.8125,896.872497,32.616217,4.5702701,40.594593,0,133.054046,-32.1419138,119.3981233
"spp5",1047,17.362499,515.082519,75.752502,164.1875,981.474975,32.6157897,4.6763156,42,0,134.026321,-32.54354434,118.8156813
"spp5",1027,17.017499,489.394989,74.677497,147.212493,951.905029,33.178125,4.590625,44,0,135.6875,-32.0932619,118.8736097
"spp5",1027,17.017499,489.394989,74.677497,147.212493,951.905029,33.178125,4.590625,44,0,135.6875,-32.0932619,118.8736097
"spp6",882,22.392499,494.122497,76.690002,357.722503,1183.902465,35.5057128,7.4485717,75.371429,0,228.65715,-29.46599494,115.5677323
"spp6",912,14.3175,398.744995,74.802497,134.752502,1182.362548,35.3151519,6.1121212,62.393939,0,165.575759,-30.03094065,116.5251987
"spp6",885,20.2775,411.41751,76.6025,185.115005,967.414978,36.0485717,5.6799999,54.514286,0,128.742858,-29.63956914,117.1029112
"spp6",884,17.03,333.440002,71.595001,165.725006,956.54248,36.1875,6.13125,58.75,0,141.125,-29.58342315,116.5906796
"spp6",884,17.03,333.440002,71.595001,165.725006,956.54248,36.1875,6.13125,58.75,0,141.125,-29.58342315,116.5906796
"spp6",884,17.03,333.440002,71.595001,165.725006,956.54248,36.1875,6.13125,58.75,0,141.125,-29.58342315,116.5906796
"spp6",882,22.392499,494.122497,76.690002,357.722503,1183.902465,35.5057128,7.4485717,75.371429,0,228.65715,-29.46599494,115.5677323
"spp6",882,22.392499,494.122497,76.690002,357.722503,1183.902465,35.5057128,7.4485717,75.371429,0,228.65715,-29.46599494,115.5677323
"spp6",883,17.097499,415.127502,70.017501,112.480003,985.530029,36.05,6.6058822,64.529411,0,168.882354,-29.52556414,116.0789485
"spp6",885,20.2775,411.41751,76.6025,185.115005,967.414978,36.0485717,5.6799999,54.514286,0,128.742858,-29.63956914,117.1029112
"spp6",883,17.097499,415.127502,70.017501,112.480003,985.530029,36.05,6.6058822,64.529411,0,168.882354,-29.52556414,116.0789485
"spp6",885,20.2775,411.41751,76.6025,185.115005,967.414978,36.0485717,5.6799999,54.514286,0,128.742858,-29.63956914,117.1029112
"spp6",941,16.802499,416.127502,70.8675,106.089996,1133.487548,34.5600006,5.9657142,58.942855,0,157.514282,-30.53533277,116.975343
"spp6",940,19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717,-30.47868689,116.4592115
"spp6",939,21.405,496.432495,76.434997,340.162506,1196.827514,33.9064514,6.6129035,74.322578,0,254.645156,-30.42031425,115.9435923
"spp6",942,18.565,386.142486,69.667503,99.095001,1166.467529,34.54375,5.61875,55.4375,0,138.65625,-30.59024897,117.4919719
"spp6",914,19.149999,348.149993,65.432502,109.964996,947.267517,35.3111114,5.5944442,53.388889,0,131.055557,-30.14200408,117.554039
"spp6",911,20.61,421.119995,73.262496,258.777496,1150.939941,35.1588226,6.7823532,70.029411,0,210.117645,-29.97282779,116.0115308
"spp6",912,14.3175,398.744995,74.802497,134.752502,1182.362548,35.3151519,6.1121212,62.393939,0,165.575759,-30.03094065,116.5251987
"spp6",912,14.3175,398.744995,74.802497,134.752502,1182.362548,35.3151519,6.1121212,62.393939,0,165.575759,-30.03094065,116.5251987
"spp6",914,19.149999,348.149993,65.432502,109.964996,947.267517,35.3111114,5.5944442,53.388889,0,131.055557,-30.14200408,117.554039
"spp6",912,14.3175,398.744995,74.802497,134.752502,1182.362548,35.3151519,6.1121212,62.393939,0,165.575759,-30.03094065,116.5251987
"spp6",913,16.829999,398.607513,69.014999,117.682502,1064.430053,35.3625,5.95,57.75,0,145.65625,-30.08733369,117.039373
"spp6",913,16.829999,398.607513,69.014999,117.682502,1064.430053,35.3625,5.95,57.75,0,145.65625,-30.08733369,117.039373
"spp6",940,19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717,-30.47868689,116.4592115
"spp6",881,23.010101,480.326599,83.993263,477.565643,1129.932617,34.6679992,8.9080001,86.639999,0,267.440002,-29.40471843,115.0570451
"spp6",942,18.565,386.142486,69.667503,99.095001,1166.467529,34.54375,5.61875,55.4375,0,138.65625,-30.59024897,117.4919719
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",997,29.747499,550.450012,77.042503,264.022491,1134.974975,34.178125,5.55625,64.625,0,194.75,-31.43215814,116.8457846
"spp6",997,29.747499,550.450012,77.042503,264.022491,1134.974975,34.178125,5.55625,64.625,0,194.75,-31.43215814,116.8457846
"spp6",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp6",941,16.802499,416.127502,70.8675,106.089996,1133.487548,34.5600006,5.9657142,58.942855,0,157.514282,-30.53533277,116.975343
"spp6",1024,26.254999,532.53247,76.294998,229.142501,1053.260009,33.3117645,4.9176471,62.382354,0,180,-31.9367364,117.3028515
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",999,24.497499,434.037506,69.065002,175.027496,985.957519,33.55,5.1722221,49.916667,45,135.166671,-31.5412614,117.887477
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp6",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp6",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",1045,16.972499,557.592529,73.6175,140.029998,900.025024,31.8303039,4.660606,55.272727,0,159.727279,-32.44045256,117.763955
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",997,29.747499,550.450012,77.042503,264.022491,1134.974975,34.178125,5.55625,64.625,0,194.75,-31.43215814,116.8457846
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",943,24.795,413.782501,68.017501,81.532501,1217.837524,34.4285705,5.2914287,48.914287,0,132.399993,-30.64343266,118.0090835
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp6",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp6",940,19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717,-30.47868689,116.4592115
"spp6",940,19.2525,484.012512,71.974998,146.577499,1128.512451,34.7657135,6.0171428,63.57143,0,182.485717,-30.47868689,116.4592115
"spp6",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp6",971,25.784999,412.592498,63.825,89.1025,1132.182495,34.03125,5.425,49.96875,0,134.6875,-31.0921929,117.9485169
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp6",970,24.975,391.829986,62.069999,78.762496,1059.537475,34.1142852,5.5799999,54.742858,0,139.971435,-31.03876491,117.429422
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp6",971,25.784999,412.592498,63.825,89.1025,1132.182495,34.03125,5.425,49.96875,0,134.6875,-31.0921929,117.9485169
